ID,Type,RA,DECL,ID_OGLE_II,ID_OGLE_III,ID_OGLE_IV,ID_OTHER,I,V,V_I,P,dP,T0,A,Ecc,Incl,Peri,Var,Model,S,C,Remarks
OGLE-LMC-HB-0350,MS,5.607169,-69.486722,-99.99,LMC175.8.10945,LMC516.27.38572,-99.99,14.713,14.645,-0.068,4.950388,0.000059,9001.236,0.019,0.305,40.2,118,TEO,1,0.00622,-0.00241,
OGLE-LMC-HB-0351,RG,5.612675,-70.028389,LMC_SC16_187428,LMC176.8.58859,LMC516.10.24687,-99.99,15.613,17.273,1.66,316.554,0.062,9290.9,0.054,0.3264,55.3,162.4,TEO,1,0.00958,0.00039,
OGLE-LMC-HB-0352,RG,5.614225,-69.943944,LMC_SC16_191047,LMC176.7.12965,LMC516.10.35566,-99.99,16.509,18.362,1.853,330.21,0.11,9328.7,0.045,0.221,58.8,59,-99.99,1,0.01036,0.00108,
OGLE-LMC-HB-0353,RG,5.614228,-69.993528,LMC_SC16_187450,LMC176.7.12966,LMC516.10.24792,-99.99,16.021,17.877,1.856,663.71,0.17,9396.7,0.059,0.507,61.5,85,-99.99,1,0.00373,0.00014,
OGLE-LMC-HB-0354,RG,5.617014,-68.434417,-99.99,LMC174.5.22105,LMC517.18.33377,EROS2-star lm022-4k-12751,15.493,17.033,1.54,418.9,0.24,9184.3,0.032,0.285,73.7,38,-99.99,1,0.00468,0.0011,
OGLE-LMC-HB-0355,RG,5.617033,-71.356639,-99.99,LMC172.4.54168,LMC515.10.32701,OGLE-LMC-ECL-20686,15.898,17.613,1.715,364.881,0.095,9246.8,0.047,0.2835,88.6,100.8,-99.99,1,0.00617,0.00012,
OGLE-LMC-HB-0356,MS,5.623589,-69.334861,-99.99,LMC175.7.22196,LMC516.26.41372,OGLE-LMC-ECL-20866,15.999,15.993,-0.006,9.49778,0.00035,9008.47,0.009,0.54,28.5,60,ECL,0,0.00113,-0.00108,
OGLE-LMC-HB-0357,RG,5.625872,-69.832778,LMC_SC16_260647,LMC176.6.20877,LMC516.18.37071,2MASS J05373315-6949580,15.969,17.426,1.457,297.982,0.043,9072.6,0.063,0.3071,67.4,157.8,-99.99,1,0.00959,0.00172,
OGLE-LMC-HB-0358,RG,5.626611,-70.121111,LMC_SC16_240531,LMC176.8.28122,LMC516.09.42864,-99.99,16.018,17.504,1.486,285.61,0.1,9160.4,0.031,0.145,82.4,59,OSARG,1,0.00663,0.00245,
OGLE-LMC-HB-0359,RG,5.628733,-70.733167,LMC_SC17_23,LMC177.8.11942,LMC515.27.7405,-99.99,16.011,17.578,1.567,348.22,0.31,9020.4,0.022,0.212,57.1,117.7,-99.99,1,0.00547,0.00101,
OGLE-LMC-HB-0360,RG,5.629025,-68.033278,-99.99,LMC173.3.7,LMC554.25.15,EROS2-star lm022-2k-4629,14.614,16.399,1.785,694.28,0.21,9372,0.129,0.4005,58.53,36.1,-99.99,0,0.01473,0.00148,
OGLE-LMC-HB-0361,MS,5.630869,-69.540639,-99.99,LMC175.8.32785,LMC516.26.20393,-99.99,16.987,17.545,0.558,62.6163,0.0034,9006.41,0.058,0.413,33.39,47.7,-99.99,1,0.01368,-0.0079,
OGLE-LMC-HB-0362,RG,5.632253,-69.60125,-99.99,LMC176.5.50199,-99.99,2MASS J05375610-6936045,15.092,16.696,1.604,303.25,0.086,9011.21,0.114,0.2573,63.4,175.6,-99.99,1,0.02406,0.00514,
OGLE-LMC-HB-0363,RG,5.635447,-71.748111,-99.99,LMC179.7.4247,LMC515.02.32,-99.99,16.203,17.716,1.513,284.519,0.066,9073.5,0.045,0.334,77.6,71.7,-99.99,1,0.00504,0.00182,
OGLE-LMC-HB-0364,RG,5.636467,-68.175639,-99.99,LMC173.2.55,LMC554.16.16216,-99.99,15.527,16.914,1.387,499.38,0.18,9458.5,0.049,0.4484,63.9,169.7,OSARG,1,0.00453,0.00178,
OGLE-LMC-HB-0365,MS,5.6424,-69.065556,-99.99,LMC175.4.115,LMC553.25.36601,[P93] 305,16.61,16.66,0.05,14.77308,0.0003,9008.345,0.056,0.695,26.9,74,-99.99,1,0.00253,-0.00187,
OGLE-LMC-HB-0366,RG,5.644764,-67.968556,-99.99,LMC173.3.19,LMC554.24.23,-99.99,13.991,15.295,1.304,657.85,0.83,9521.9,0.017,0.229,61.7,156,ECL,0,0.00378,0.0003,
OGLE-LMC-HB-0367,MS,5.646236,-66.371833,-99.99,-99.99,LMC555.32.1920,-99.99,16.91,17.218,0.308,19.7311,0.00051,9000.05,0.1,0.2056,57,56.1,ECL,0,0.025,0.0006,
OGLE-LMC-HB-0368,RG,5.653944,-70.431278,LMC_SC17_150137,-99.99,LMC516.01.6188,-99.99,15.139,16.746,1.607,416.15,0.16,9024.9,0.035,0.262,42.2,0.6,OSARG,1,0.01089,-0.00231,
OGLE-LMC-HB-0369,RG,5.659806,-69.809917,LMC_SC17_237495,-99.99,LMC516.17.31929,-99.99,16.778,18.889,2.111,345.77,0.72,9283.7,0.026,0.204,65,47,-99.99,0,0.0056,0.00174,
OGLE-LMC-HB-0370,MS,5.660033,-71.080528,-99.99,LMC178.7.51068,LMC515.18.80,OGLE-LMC-ECL-36738,15.865,15.861,-0.004,3.901272,0.000042,9002.422,0.018,0.332,34.8,32.5,ECL,0,0.00531,-0.00286,
OGLE-LMC-HB-0371,RG,5.66175,-69.757778,-99.99,LMC176.3.31662,LMC553.07.44522,-99.99,13.99,15.536,1.546,616.42,0.44,9075,0.036,0.195,89.4,71.8,-99.99,1,0.00644,0.0027,
OGLE-LMC-HB-0372,RG,5.663433,-70.406278,LMC_SC17_203768,LMC177.3.55,LMC552.25.7715,-99.99,15.79,17.493,1.703,338.784,0.069,9093.3,0.057,0.1763,62,137.8,-99.99,1,0.0141,0.00218,
OGLE-LMC-HB-0373,RG,5.665739,-70.802194,LMC_SC18_3066,LMC178.5.24280,LMC552.16.64,-99.99,15.928,17.396,1.468,295.03,0.12,9034.2,0.026,0.251,58.3,25.3,-99.99,1,0.00559,0.00031,
OGLE-LMC-HB-0374,RG,5.667514,-70.333333,LMC_SC17_211289,LMC177.3.50440,LMC552.25.18058,EROS2-star lm003-7l-10520,15.269,16.955,1.686,326.955,0.079,9180.2,0.044,0.2423,60.8,134.5,-99.99,1,0.00908,0.00116,
OGLE-LMC-HB-0375,RG,5.668422,-70.47225,LMC_SC17_200422,LMC177.2.45057,LMC552.25.43,-99.99,15.542,17.228,1.686,360.685,0.067,9108.8,0.058,0.1364,62.5,61.8,-99.99,1,0.0159,0.0011,
OGLE-LMC-HB-0376,RG,5.670489,-71.2975,-99.99,LMC178.8.20995,LMC515.09.5999,-99.99,15.264,16.673,1.409,588.07,0.26,9102.8,0.049,0.588,60.2,52.4,-99.99,1,0.0018,0.00013,
OGLE-LMC-HB-0377,RG,5.671417,-68.402667,-99.99,LMC174.4.20043,LMC554.06.18905,OGLE-LMC-ECL-22065,16.013,17.405,1.392,508.81,0.13,9294.2,0.058,0.4752,65.1,97.8,-99.99,1,0.00403,0.0002,
OGLE-LMC-HB-0378,RG,5.685142,-70.880556,-99.99,LMC178.3.31368,LMC552.07.56476,OGLE-LMC-ECL-22398,15.825,17.219,1.394,309.218,0.071,9254.8,0.062,0.4299,87.2,86.9,-99.99,1,0.00433,0.00029,
OGLE-LMC-HB-0379,RG,5.685836,-70.95025,-99.99,LMC178.3.48,LMC515.17.43858,-99.99,15.524,17.179,1.655,356.28,0.17,9059.2,0.025,0.332,42.4,22.1,-99.99,1,0.00586,-0.00246,
OGLE-LMC-HB-0380,RG,5.690472,-70.542028,LMC_SC18_124968,LMC177.2.22501,LMC552.15.56026,-99.99,15.733,17.398,1.665,460.6,0.19,9196.5,0.037,0.301,65.4,142.1,-99.99,1,0.00567,0.00106,
OGLE-LMC-HB-0381,RG,5.694372,-68.539611,-99.99,LMC182.6.112,LMC554.06.18700,-99.99,15.887,17.364,1.477,284.2,0.16,9198.6,0.024,0.277,57.1,177.4,-99.99,1,0.00524,0.00012,
OGLE-LMC-HB-0382,RG,5.694761,-71.095833,-99.99,LMC178.2.35579,LMC515.17.63,MACHO 15.9949.27,15.733,17.551,1.818,362.207,0.068,9159,0.063,0.2925,74,153.2,-99.99,1,0.00934,0.00857,
OGLE-LMC-HB-0383,RG,5.697181,-68.744333,-99.99,LMC182.7.236,LMC553.31.34154,-99.99,16.932,18.351,1.419,184.74,0.12,9004.6,0.019,0.22,68,26.2,ECL,0,0.00379,0.00054,
OGLE-LMC-HB-0384,RG,5.699478,-70.017083,LMC_SC18_155452,LMC176.1.61198,LMC552.32.15098,-99.99,16.794,18.234,1.44,218.754,0.031,9059.55,0.066,0.296,67,160.3,-99.99,1,0.01065,0.00315,
OGLE-LMC-HB-0385,RG,5.708006,-67.514583,-99.99,-99.99,LMC554.30.12938,-99.99,14.618,16.215,1.597,698.6,0.42,9156.8,0.094,0.4942,72.7,40.6,TEO,1,0.00526,0.00236,
OGLE-LMC-HB-0386,MS,5.709372,-68.280556,-99.99,LMC181.8.13728,LMC554.13.168,OGLE-LMC-ECL-37269,16.446,16.361,-0.085,2.787407,0.000018,9000.113,0.03,0.101,89.4,45.6,ECL,1,0.00732,0.00292,
OGLE-LMC-HB-0387,RG,5.71295,-67.560694,-99.99,-99.99,LMC554.30.13039,-99.99,16.331,17.559,1.228,164.366,0.052,9044.3,0.052,0.322,64.5,117.3,-99.99,1,0.00733,0.00062,
OGLE-LMC-HB-0388,RG,5.713286,-68.36675,-99.99,LMC181.8.13497,LMC554.13.40,OGLE-LMC-ECL-23069,15.303,16.944,1.641,429.26,0.13,9240.5,0.074,0.3081,89.3,110.6,-99.99,1,0.00866,0.00289,
OGLE-LMC-HB-0389,MS,5.718647,-68.15625,-99.99,LMC181.7.14021,LMC554.13.13473,-99.99,15.563,15.706,0.143,36.01955,0.00056,9025.226,0.164,0.1159,14.65,24.6,ECL,0,0.208,-0.165,
OGLE-LMC-HB-0390,RG,5.719153,-70.828139,LMC_SC19_60977,LMC178.4.24446,LMC552.14.36166,2MASS J05430894-7049413,15.015,16.937,1.922,583.45,0.13,9327.9,0.076,0.3499,64.8,116.8,OSARG,1,0.00944,0.00124,
OGLE-LMC-HB-0391,RG,5.719283,-70.095528,-99.99,LMC184.8.36,LMC552.31.39707,2MASS J05430942-7005439,15.182,16.884,1.702,530.58,0.11,9003,0.105,0.3272,67.9,143.6,OSARG,1,0.01407,0.00327,
OGLE-LMC-HB-0392,MS,5.722047,-69.166083,-99.99,LMC183.6.25632,LMC553.22.22853,OGLE-LMC-ECL-23256,14.797,15.075,0.278,20.833,0.00014,9016.612,0.151,0.1282,88.5,79.3,-99.99,0,0.03295,0.01169,
OGLE-LMC-HB-0393,RG,5.731394,-68.820639,-99.99,LMC182.8.23754,LMC553.30.22842,EROS2-star lm022-7m-8797,15.318,16.97,1.652,463.24,0.15,9082.8,0.067,0.3155,85.1,68.8,-99.99,1,0.00768,0.00228,
OGLE-LMC-HB-0394,RG,5.736211,-67.810167,-99.99,LMC181.4.13,LMC554.21.11015,-99.99,13.736,15.124,1.388,841.2,1.4,9586.4,0.019,0.384,88.9,117.4,-99.99,1,0.0016,0.00038,
OGLE-LMC-HB-0395,RG,5.736703,-68.815417,-99.99,LMC182.8.24004,LMC553.30.7438,-99.99,16.175,17.851,1.676,292.04,0.13,9228.2,0.035,0.283,60.1,39.8,-99.99,1,0.00635,0.00116,
OGLE-LMC-HB-0396,RG,5.739053,-70.941139,LMC_SC19_105537,LMC186.6.26879,-99.99,-99.99,16.036,17.712,1.676,208.68,0.1,9081.5,0.037,0.123,46.9,5.2,-99.99,1,0.0162,-0.003,
OGLE-LMC-HB-0397,MS,5.739156,-67.06875,-99.99,-99.99,LMC555.11.14764,OGLE-LMC-ECL-37569,15.409,15.497,0.088,28.7853,0.003,9007.26,0.028,0.19,84.4,0.5,ECL,1,0.00615,0.00122,
OGLE-LMC-HB-0398,RG,5.745739,-68.515556,-99.99,LMC182.3.84,LMC554.04.14860,EROS2-star lm023-4k-24922,15.43,17.247,1.817,699.72,0.54,9030,0.048,0.3491,53.7,76.5,OSARG,1,0.00805,0.00078,
OGLE-LMC-HB-0399,RG,5.746792,-70.1685,LMC_SC19_189013,LMC185.5.58685,LMC552.30.29333,-99.99,16.131,17.678,1.547,262.948,0.08,9084.6,0.032,0.136,60.9,16.5,-99.99,1,0.0095,0.0022,
OGLE-LMC-HB-0400,RG,5.749647,-69.363833,-99.99,LMC183.7.27764,LMC553.12.28519,-99.99,16.743,19.455,2.712,423.44,0.14,9346,0.074,0.1864,53,15.7,OSARG,1,0.0226,-0.001,
OGLE-LMC-HB-0401,RG,5.750625,-70.794333,-99.99,LMC186.5.35611,LMC552.13.35311,OGLE-LMC-ECL-23706,15.666,17.425,1.759,458.07,0.18,9169.1,0.046,0.338,67.9,104,-99.99,1,0.00576,0.00081,
OGLE-LMC-HB-0402,RG,5.753717,-69.500056,-99.99,LMC183.1.57,LMC553.12.19741,-99.99,15.739,17.331,1.592,473.69,0.15,9147.3,0.073,0.4035,89.6,34.9,-99.99,1,0.00607,0.00184,
OGLE-LMC-HB-0403,RG,5.764706,-69.186194,-99.99,LMC183.3.36,LMC553.21.3672,EROS2-star lm004-0m-21495,15.213,16.968,1.755,610.82,0.39,9231,0.047,0.394,59.8,58.6,-99.99,1,0.00524,-0.00003,
OGLE-LMC-HB-0404,MS,5.767114,-67.5985,-99.99,-99.99,LMC554.28.12723,LHA 120-S 60,14.291,14.538,0.247,17.2724,0.00022,9004.456,0.132,0.2955,56.21,102.8,-99.99,1,0.02525,0.00052,
OGLE-LMC-HB-0405,RG,5.767419,-70.674472,LMC_SC20_87210,LMC185.8.33835,LMC552.13.18106,-99.99,16.039,17.689,1.65,512.28,0.18,9224.7,0.049,0.483,69.2,150.2,-99.99,1,0.00314,0.00125,
OGLE-LMC-HB-0406,RG,5.768028,-67.630722,-99.99,-99.99,LMC554.28.105,-99.99,15.765,17.139,1.374,400.34,0.58,9154.8,0.022,0.41,49.5,11.2,-99.99,1,0.00303,-0.00033,
OGLE-LMC-HB-0407,RG,5.769117,-70.712194,LMC_SC20_83422,LMC185.8.33842,LMC552.13.8359,MACHO 12.10681.24,15.343,17.079,1.736,609.39,0.42,9568.3,0.025,0.283,52.9,81.3,-99.99,1,0.00575,-0.00011,
OGLE-LMC-HB-0408,MS,5.77095,-69.447861,-99.99,LMC183.1.110,LMC553.12.7753,OGLE-LMC-ECL-23999,15.24,15.894,0.654,114.02923,0.00072,9032.207,0.443,0.6753,75.1,64.61,ECL/MISC,0,0.00577,0.00523,
OGLE-LMC-HB-0409,RG,5.773417,-69.477639,-99.99,LMC183.1.292,LMC553.12.3693,-99.99,16.402,18.261,1.859,316.37,0.14,9001.5,0.039,0.263,57.4,105.1,-99.99,1,0.00818,-0.00041,
OGLE-LMC-HB-0410,MS,5.779994,-70.584944,LMC_SC20_141835,LMC185.2.238,LMC552.12.63744,OGLE-LMC-ECL-37938,16.959,17.453,0.494,34.05499,0.00044,9000.85,0.171,0.1763,56.3,38,ECL,0,0.0474,-0.0078,
OGLE-LMC-HB-0411,RG,5.787417,-71.161611,LMC_SC20_160045,LMC186.7.18867,LMC551.30.18233,-99.99,15.472,17.226,1.754,413.82,0.18,9293.8,0.032,0.199,74.7,162.5,-99.99,1,0.00671,0.00335,
OGLE-LMC-HB-0412,RG,5.794689,-70.804694,LMC_SC20_181329,LMC186.4.3,LMC552.12.5,J054741.02-704815.4,14.218,15.9,1.682,625.78,0.13,9559.6,0.088,0.294,55.09,169.9,ECL,0,0.01814,-0.00246,
OGLE-LMC-HB-0413,MS,5.797347,-68.0065,-99.99,-99.99,LMC554.19.17,OGLE-LMC-ECL-38101,14.116,14.021,-0.095,9.17464,0.0002,9006.94,0.045,0.207,63,118.1,ECL,0,0.00988,-0.00007,
OGLE-LMC-HB-0414,RG,5.803875,-71.321444,-99.99,LMC186.1.52,LMC551.29.26756,-99.99,15.471,17.038,1.567,326.82,0.13,9307,0.045,0.2342,64,8.9,-99.99,1,0.00996,0.00127,
OGLE-LMC-HB-0415,RG,5.827983,-69.766778,-99.99,LMC191.6.16,LMC553.02.10487,EROS2-star lm004-5m-1120,14.576,15.901,1.325,199.791,0.055,9184.9,0.032,0.31,58.2,106,-99.99,1,0.00555,0.00005,
OGLE-LMC-HB-0416,RG,5.828281,-69.949361,-99.99,LMC191.7.75,LMC552.28.19013,-99.99,15.256,17.006,1.75,588.13,0.25,9184.9,0.06,0.4,58.8,100.4,TEO,1,0.00699,0.00021,
OGLE-LMC-HB-0417,RG,5.847531,-69.938361,-99.99,LMC191.7.21945,LMC552.27.14869,-99.99,15.706,17.321,1.615,598.88,0.26,9410.8,0.043,0.448,80.8,129,-99.99,1,0.00279,0.00077,
OGLE-LMC-HB-0418,RG,5.851125,-72.261528,-99.99,LMC188.2.7328,LMC551.03.46,-99.99,15.681,17.22,1.539,351.99,0.17,9157.6,0.05,0.2087,89,99.6,-99.99,1,0.00864,0.00403,
OGLE-LMC-HB-0419,RG,5.854097,-69.234528,-99.99,LMC190.6.14459,LMC553.18.123,-99.99,16.093,17.498,1.405,210.853,0.03,9038.83,0.068,0.2987,50.7,21.2,-99.99,1,0.01457,-0.00037,
OGLE-LMC-HB-0420,MS,5.870139,-68.168889,-99.99,-99.99,LMC561.32.7630,-99.99,14.658,14.489,-0.169,12.20702,0.00094,9008.39,0.012,0.401,36.5,91.5,-99.99,1,0.00433,-0.00201,
OGLE-LMC-HB-0421,RG,5.872344,-71.414111,-99.99,LMC194.5.30,LMC551.27.11769,-99.99,15.445,17.096,1.651,547.1,0.71,9230.8,0.022,0.265,89.7,32.8,-99.99,1,0.00325,0.00161,
OGLE-LMC-HB-0422,RG,5.875661,-69.431694,-99.99,LMC190.1.21,LMC553.08.20563,-99.99,14.718,16.163,1.445,386.72,0.17,9075.2,0.053,0.2399,58.6,9.7,-99.99,0,0.01232,0.00133,
OGLE-LMC-HB-0423,RG,5.883914,-68.148944,-99.99,-99.99,LMC561.32.7658,EROS2-star lm024-2k-17748,15.645,17.375,1.73,419.6,0.93,9045.1,0.019,0.264,64,93,-99.99,1,0.00351,0.0014,
OGLE-LMC-HB-0424,RG,5.887103,-70.873417,-99.99,LMC193.5.15399,LMC552.01.11631,-99.99,15.559,17.152,1.593,444.55,0.32,9343,0.052,0.318,88.6,97.3,-99.99,1,0.00604,0.00297,
OGLE-LMC-HB-0425,RG,5.894169,-68.281889,-99.99,-99.99,LMC561.31.101,OGLE-LMC-ECL-38869,15.615,16.904,1.289,246.949,0.095,9075.8,0.066,0.31,89.4,127.7,OSARG,1,0.00775,0.00205,
OGLE-LMC-HB-0426,RG,5.899175,-68.332778,-99.99,-99.99,LMC561.31.34,-99.99,15.339,16.933,1.594,471.14,0.67,9059.4,0.034,0.341,53.7,67,-99.99,1,0.00585,0.00012,
OGLE-LMC-HB-0427,RG,5.899953,-64.2865,-99.99,-99.99,LMC600.02.71,OGLE-LMC-ECL-38909,16.296,17.602,1.306,186.79,0.15,9184.1,0.03,0.184,87,99.6,-99.99,1,0.00561,0.00206,
OGLE-LMC-HB-0428,RG,5.943083,-70.206528,-99.99,LMC192.4.10576,LMC560.14.24,-99.99,15.805,17.247,1.442,402.39,0.34,9133.7,0.022,0.141,53.8,168.3,-99.99,1,0.0076,0.0012,
OGLE-LMC-HB-0429,RG,6.046356,-68.896889,-99.99,LMC204.8.6198,LMC561.09.28,-99.99,15.433,17.028,1.595,281.05,0.19,9029.9,0.022,0.306,19.7,139,-99.99,0,0.0084,-0.0089,
OGLE-LMC-HB-0430,RG,6.046864,-70.339278,-99.99,LMC199.3.3605,LMC560.02.5674,-99.99,15.784,17.307,1.523,282.943,0.087,9274.5,0.043,0.2543,44,126,-99.99,1,0.01387,-0.00272,
OGLE-LMC-HB-0431,RG,6.050917,-70.022417,-99.99,LMC206.8.26,LMC560.10.5035,OGLE-LMC-ECL-25690,15.563,17.156,1.593,300.545,0.052,9190.6,0.076,0.2898,51.18,53.4,-99.99,1,0.01648,-0.00206,
OGLE-LMC-HB-0432,RG,6.052508,-72.494056,-99.99,LMC202.8.4655,LMC558.13.4102,-99.99,15.56,17.135,1.575,538.93,0.28,9230.8,0.035,0.442,60.9,3.3,-99.99,1,0.00357,0.00182,
OGLE-LMC-HB-0433,RG,6.072311,-69.256056,-99.99,-99.99,LMC568.25.32,-99.99,15.337,16.827,1.49,375.7,0.59,9028.6,0.038,0.168,58.6,119.1,ECL,0,0.0103,-0.0009,
OGLE-LMC-HB-0434,RG,6.149942,-72.958278,-99.99,LMC211.8.66,LMC558.02.52,-99.99,16.17,17.556,1.386,232.201,0.092,9108.5,0.032,0.294,34.8,36,-99.99,1,0.01175,-0.0061,
OGLE-LMC-HB-0435,RG,6.150239,-72.3505,-99.99,LMC210.7.43,LMC558.19.17,-99.99,15.157,16.783,1.626,601.18,0.6,9245.8,0.023,0.483,72,100,ECL,1,0.00134,0.00079,
OGLE-LMC-HB-0436,RG,6.174381,-71.056083,-99.99,LMC208.2.5434,LMC567.06.82,-99.99,15.95,17.361,1.411,264.81,0.11,9085.2,0.029,0.203,69.2,154.4,-99.99,1,0.00614,0.00282,
OGLE-LMC-HB-0437,RG,6.259822,-69.133222,-99.99,-99.99,LMC568.18.5858,OGLE-LMC-ECL-40052,15.885,17.324,1.439,346.87,0.35,9094.7,0.032,0.331,89.3,37.9,-99.99,1,0.00358,0.002,
OGLE-LMC-HB-0438,RG,6.261628,-69.490056,-99.99,-99.99,LMC568.09.44,-99.99,15.094,16.751,1.657,545.46,0.97,9200.3,0.037,0.264,88,161,-99.99,1,0.00588,0.00355,
OGLE-LMC-HB-0439,RG,6.339261,-70.495722,-99.99,-99.99,LMC567.17.17,-99.99,14.885,16.551,1.666,433.61,0.45,9023.5,0.047,0.205,60.3,122.8,-99.99,1,0.011,0.001,
